4,3,5,22331,1 
1.92204e-03,1.69781e-04,4.16022e-03,1.73307e-03
7.61245e-03,6.15002e-04,1.62419e-02,6.85444e-03
7.61245e-03,6.15002e-04,1.62419e-02,6.85444e-03
1.95493e-01,1.39620e-02,3.60307e-01,1.94828e-01
2.54764e-01,7.32482e-02,9.80952e-01,2.66283e-01
2.54764e-01,7.32482e-02,9.80952e-01,2.66283e-01
4,3,9,64163,1
9.89959e-04,1.28988e-04,2.71540e-03,9.00838e-04
4.21286e-03,7.43994e-04,1.23273e-02,3.89990e-03
4.21286e-03,7.43994e-04,1.23273e-02,3.89990e-03
1.15117e-01,1.74655e-02,3.22036e-01,1.25178e-01
2.11407e-01,3.24232e-01,1.62230e+00,2.71883e-01
2.11407e-01,3.24232e-01,1.62230e+00,2.71883e-01
4,3,17,212122,1
4.53211e-04,7.87268e-05,1.64410e-03,4.16157e-04
1.92522e-03,3.89547e-04,7.21180e-03,1.78731e-03
1.92522e-03,3.89547e-04,7.21180e-03,1.78731e-03
7.25171e-02,1.14140e-02,2.21535e-01,8.14584e-02
1.22055e-01,1.64088e-01,9.63190e-01,1.54565e-01
1.22055e-01,1.64088e-01,9.63190e-01,1.54565e-01
